,Rank2016,District,City,RegionName,County,Score2016,Score2015,Rank2015,SchoolDiggerRating,sold_15,sold_16,list_15,list_16,one_15,one_16,two_15,two_16,thre_15,thre_16,four_15,four_16,five_15,five_16,cond_15,cond_16,trip_15,trip_16,sfr_15,sfr_16
233,156.0,Nevada City Elementary,Nevada City,95959,Nevada,0.7475237,0.732523,180,4.0,339281.523378,347023.30316,458308.333333,519333.333333,,,,,490304.166667,533270.833333,,,,,,,,,468450.0,524495.833333
234,756.0,Twin Ridges Elementary,Nevada City,95959,Nevada,0.2482722,(n/a),(n/a),1.0,339281.523378,347023.30316,458308.333333,519333.333333,,,,,490304.166667,533270.833333,,,,,,,,,468450.0,524495.833333
235,,Nevada County Office Of Education,Nevada City,95959,Nevada,(n/a),(n/a),(n/a),,339281.523378,347023.30316,458308.333333,519333.333333,,,,,490304.166667,533270.833333,,,,,,,,,468450.0,524495.833333
236,157.0,Coast Unified,Cambria,93428,San Luis Obispo,0.74701,0.6262743,296,4.0,601923.076925,540413.2353,664720.833333,715625.0,,,,,755991.666667,792366.666667,,,,,,,,,666945.833333,723000.0
237,158.0,Dry Creek Joint Elementary,Roseville,95747,Placer,0.7453052,0.7741358,140,4.0,383925.0,393833.333333,433832.916667,465005.0,,,,,388143.166667,413979.916667,442736.666667,472009.166667,531704.083333,564652.416667,,,,,433841.25,463809.958333
238,159.0,Saddleback Valley Unified,Mission Viejo,92691,Orange,0.7431149,0.7569578,158,4.0,596920.833333,602833.333333,614791.666667,643536.666667,,,383729.125,399025.0,602491.166667,632750.0,707879.125,729929.166667,,,351083.333333,361012.083333,,,657469.75,681091.333333
239,160.0,Mark West Union Elementary,Santa Rosa,95404,Sonoma,0.7427552,0.7391212,172,4.0,527037.5,553200.0,671587.5,742204.166667,,,,,627687.5,677739.5,,,,,,,,,701245.791667,762668.958333
240,161.0,San Mateo-Foster City,Foster City,94404,San Mateo,0.7423117,0.7590219,151,4.0,994408.165364,1015900.0,,1049907.5,,,,,,,,,,,,,,,,
241,162.0,Bonita Unified,San Dimas,91773,Los Angeles,0.7414971,0.7224411,193,4.0,486695.8042,518416.666667,547811.166667,618927.791667,,,,,503485.666667,571892.875,704640.95,695305.833333,,,,,,,611264.166667,673543.166667
242,163.0,Alameda Unified,Alameda,94501,Alameda,0.7402332,0.732627,178,4.0,745666.666667,788724.3439,,844975.708333,,,,,,,,,,,,,,,802950.583333,891181.75
