,Unnamed: 0_x,RegionName,CrimeCases_x,Unnamed: 0.1,Population_x,StateCode,crime_rate,Unnamed: 0_y,sold_15,sold_16,list_15,list_16,one_15,one_16,two_15,two_16,thre_15,thre_16,four_15,four_16,five_15,five_16,cond_15,cond_16,trip_15,trip_16,sfr_15,sfr_16,Unemploy_Rate,Population_y,CrimeCases_y,Score2016,Score2015,Rank2016,Highest Rank City 2016,Zip2016,Rank2015,Highest Rank City 2015,Zip2015,Number Students,Number of Ranked Elementary Schools,Number of Ranked Middle Schools,Number of Ranked High Schools,total_income
22,22,San Luis Obispo,3345.0,40,281401,California,0.0118869513612,22,480470.833333,501058.333333,576653.916667,604845.833333,369820.833333,297395.75,414025.0,438115.125,548870.833333,567808.333333,716741.583333,766395.041667,1034562.5,1099708.33333,411747.875,433312.5,727666.666667,790500.0,604061.583333,649800.0,4.5,281401,3345.0,0.581645109091,0.574060627273,133.0,Arroyo Grande,93401,82.0,Arroyo Grande,93401,34768.0,42.0,18.0,19.0,103576
23,23,San Mateo,6267.0,41,765135,California,0.00819071144308,13,919250.0,996375.0,1002279.08333,1119322.33333,452680.833333,515988.583333,751173.166667,822522.958333,982014.583333,1113936.5,1523666.66667,1625333.33333,,,635081.25,697939.666667,1145515.86364,1316437.29167,1179605.83333,1296648.0,3.0,765135,6267.0,0.7276984,0.725170795833,5.0,Atherton,94002,1.0,Atherton,94002,94986.0,106.0,49.0,28.0,259711
24,24,Santa Barbara,3896.0,42,444769,California,0.00875960329969,20,466010.416667,464954.166667,743505.5,802829.166667,,,570863.75,646203.708333,670306.166667,702161.5,863666.666667,970870.416667,,,549912.5,597000.0,,,813845.833333,885512.5,5.6,444769,3896.0,0.64712262,0.598636065,2.0,Buellton,93013,10.0,Buellton,93013,68578.0,74.0,26.0,18.0,142713
25,25,Santa Clara,3183.0,43,1918044,California,0.0016595031188,5,799250.0,856375.0,822550.541667,888230.25,441718.666667,467069.833333,550568.25,624290.833333,765237.0,837527.708333,956901.75,1070479.75,1442610.0,1634610.29167,565239.583333,634512.458333,874462.875,980992.791667,902347.916667,1009150.875,3.8,1918044,3183.0,0.730775777419,0.727432303226,1.0,Campbell,94024,4.0,Campbell,94024,275810.0,248.0,93.0,75.0,621463
26,26,Santa Cruz,4475.0,44,274146,California,0.0163234189082,23,625782.916667,660725.0,688825.0,740031.208333,443450.0,473708.291667,503411.666667,539370.708333,790227.083333,824660.416667,948124.916667,1118831.25,,,507981.111111,542804.166667,,,741445.791667,803745.833333,8.3,274146,4475.0,0.729619284615,0.730709969231,23.0,Ben Lomond,95005,30.0,Ben Lomond,95005,41063.0,41.0,23.0,20.0,94802
27,27,Shasta,3333.0,45,179533,California,0.0185648320922,29,222543.75,220375.0,247012.5,252140.666667,,,157116.666667,153912.5,235929.166667,242262.5,359475.0,365587.458333,,,,,,,251740.0,253312.5,7.5,179533,3333.0,0.608775129412,0.617303205882,67.0,Anderson,96001,55.0,Anderson,96001,26575.0,34.0,27.0,22.0,69375
28,28,Solano,1019.0,48,436092,California,0.00233666290599,18,330375.0,348416.666667,357553.625,388908.333333,,,255286.166667,281328.333333,323387.5,356137.5,412589.166667,441278.666667,531372.875,529857.666667,,,,,363814.958333,395239.166667,5.6,436092,1019.0,0.445785666667,0.452373277778,239.0,Benicia,94510,186.0,Benicia,94510,66110.0,61.0,24.0,24.0,143612
29,29,Sonoma,4231.0,49,502146,California,0.00842583631056,16,475379.166667,505991.666667,565493.75,619520.833333,,,429866.666667,486060.416667,549350.458333,600662.291667,668041.666667,714564.791667,881637.5,995979.166667,310516.25,365991.666667,657579.166667,671975.0,596935.416667,664480.75,4.2,502146,4231.0,0.605095508824,0.623062473529,49.0,Annapolis,94928,56.0,Annapolis,94928,70748.0,92.0,47.0,34.0,187782
30,30,Stanislaus,5048.0,50,538388,California,0.00937613765537,15,238843.75,253733.333333,262962.416667,281045.791667,,,153362.5,171311.25,243306.333333,260391.666667,307614.791667,336037.083333,357656.25,390754.166667,163341.666667,169077.25,254985.416667,272250.0,265507.875,284864.958333,9.1,538388,5048.0,0.467592104,0.491499313043,123.0,Ceres,95307,101.0,Ceres,95307,106689.0,103.0,40.0,38.0,169196
31,31,Sutter,1336.0,51,96463,California,0.0138498698983,36,226341.666667,225950.0,248199.5,259754.083333,,,,,225612.5,240200.0,290400.0,312320.833333,,,,,,,250753.958333,262251.083333,11.2,96463,1336.0,0.5387616,0.574481991667,96.0,East Nicolaus,95659,104.0,East Nicolaus,95659,21456.0,27.0,20.0,13.0,31917
